RT,acc_spd,accuracy,angle,block,coherence,dataset,id,left_right,subj_idx,tdcs,trial_NR
493,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,161
480,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,162
480,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,163
480,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,164
440,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,165
479,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,166
800,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,167
493,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,168
466,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,169
453,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,170
520,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,171
559,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,172
613,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,173
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,174
507,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,175
560,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,176
520,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,177
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,178
493,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,179
546,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,180
533,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,181
467,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,182
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,183
480,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,184
467,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,185
480,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,186
533,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,187
560,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,188
533,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,189
480,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,190
547,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,191
480,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,192
479,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,193
573,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,194
494,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,195
493,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,196
599,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,197
600,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,198
587,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,199
653,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,200
693,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,201
946,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,202
773,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,203
600,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,204
759,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,205
866,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,206
586,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,207
559,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,208
666,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,209
559,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,210
586,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,211
560,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,212
613,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,213
533,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,214
613,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,215
493,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,216
719,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,217
599,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,218
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,219
586,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,220
600,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,221
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,222
587,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,223
573,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,224
746,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,225
626,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,226
586,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,227
546,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,228
467,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,229
547,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,230
507,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,231
840,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,232
574,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,233
640,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,234
520,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,235
533,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,236
573,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,237
480,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,238
573,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,239
506,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,240
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,241
440,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,242
839,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,243
586,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,244
533,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,245
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,246
560,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,247
440,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,248
414,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,249
480,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,250
613,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,251
546,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,252
640,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,253
533,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,254
613,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,255
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,256
586,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,257
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,258
587,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,259
560,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,260
559,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,261
546,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,262
546,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,263
493,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,264
573,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,265
426,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,266
546,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,267
453,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,268
560,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,269
546,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,270
613,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,271
507,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,272
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,273
520,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,274
507,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,275
493,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,276
519,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,277
466,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,278
520,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,279
507,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,280
400,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,281
519,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,282
453,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,283
454,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,284
480,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,285
480,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,286
479,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,287
453,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,288
546,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,289
479,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,290
453,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,291
520,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,292
506,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,293
586,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,294
573,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,295
520,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,296
546,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,297
467,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,298
454,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,299
467,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,300
493,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,301
453,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,302
507,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,303
440,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,304
559,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,305
493,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,306
467,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,307
440,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,308
466,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,309
586,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,310
479,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,311
493,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,312
466,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,313
493,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,314
453,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,315
493,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,316
653,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,317
586,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,318
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,319
747,spd,0,180,1,0.4171,berkeley,S1.1,1,1,sham,320
640,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,321
666,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,322
507,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,323
493,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,324
520,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,325
760,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,326
614,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,327
613,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,328
